"ASV_ID"	"Taxon"	"Confidence"	"Taxon_Lv1"	"Taxon_Lv2"	"Taxon_Lv3"	"Taxon_Lv4"	"Taxon_Lv5"	"Taxon_Lv45"	"logFC_EPI"	"logCPM_EPI"	"EPI"	"logFC_MES"	"logCPM_MES"	"MES"	"logFC_EEI"	"logCPM_EEI"	"EEI"
"1179b24ac317b90cc28f77c879531742"	"Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Oligotrichida;Oligotrichida_X;Oligotrichida_XX;Oligotrichida_XX_sp.;"	0.989026666	"Eukaryota"	"TSAR"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Ciliophora;Spirotrichea"	0.141206082236305	8.65599874460235	"nonDEG"	4.85635445396042	8.65599874460235	"nonDEG"	6.37960373102183	8.65599874460235	"nonDEG"
"647ee16b5b25aa81a70e77c0e0d732b5"	"Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae"	0.999999998	"Eukaryota"	"TSAR"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Dinoflagellata;Dinophyceae"	-6.16763903378448	7.82214229640369	"Down"	4.73051369346506	7.82214229640369	"nonDEG"	6.16763903378448	7.82214229640369	"Up"
"37331649317a9144003e9efaf306ba59"	"Eukaryota"	0.997410342	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	4.56936091350903	13.2599049769208	"nonDEG"	6.81946434585628	13.2599049769208	"nonDEG"	7.83060416439193	13.2599049769208	"nonDEG"
"9836540d48cdba63e79c26a116e41781"	"Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Oligotrichida;Strombidiidae;Strombidiidae_X;Strombidiidae_X_sp.;"	0.961965552	"Eukaryota"	"TSAR"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Ciliophora;Spirotrichea"	1.48401710134588	9.70745771970128	"nonDEG"	0	9.70745771970128	"nonDEG"	6.86303951671673	9.70745771970128	"Up"
"6230f000a8eb77f44f7b3e34be134a36"	"Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-3;Dino-Group-I-Clade-3_X;Dino-Group-I-Clade-3_X_sp.;"	1	"Eukaryota"	"TSAR"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Dinoflagellata;Syndiniales"	0	8.2062450680639	"nonDEG"	-7.94451906329977	8.2062450680639	"Down"	-7.94451906329977	8.2062450680639	"Down"
"e73d0b71112a7fc27c730cde5e18b8f2"	"Eukaryota;Obazoa;Opisthokonta;Choanoflagellata;Choanoflagellatea;Acanthoecida"	0.970556462	"Eukaryota"	"Obazoa"	"Opisthokonta"	"Choanoflagellata"	"Choanoflagellatea"	"Choanoflagellata;Choanoflagellatea"	1.22470265079644	8.66497437735343	"nonDEG"	5.23230978853188	8.66497437735343	"nonDEG"	5.69657831872361	8.66497437735343	"Up"
"1a58719639ba9a5045ad7589c38ce26b"	"Eukaryota;Archaeplastida;Picozoa;Picozoa_X;Picozoa_XX;Picozoa_XXX;Picozoa_XXXX;Picozoa_XXXXX;Picozoa_XXXXX_sp.;"	0.90447685	"Eukaryota"	"Archaeplastida"	"Picozoa"	"Picozoa_X"	"Picozoa_XX"	"Picozoa_X;Picozoa_XX"	-0.197886576008515	8.88982712724857	"nonDEG"	0	8.88982712724857	"nonDEG"	6.9428969382613	8.88982712724857	"Up"
"f4431e43ac736e6f2a3a3d2fbf595a95"	"Eukaryota;TSAR;Stramenopiles;Gyrista;Gyrista_X;Gyrista_XX;MAST-1;MAST-1B;MAST-1B_sp.;"	1	"Eukaryota"	"TSAR"	"Stramenopiles"	"Gyrista"	"Gyrista_X"	"Gyrista;Gyrista_X"	-1.38970803276726	8.65958877931166	"nonDEG"	-3.07596294282984	8.65958877931166	"nonDEG"	-0.0891476838415555	8.65958877931166	"nonDEG"
"89a4a6ed08e53cca113a74b32702b6a0"	"Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Choreotrichida_X;Choreotrichida_XX;Choreotrichida_XX_sp.;"	0.869895021	"Eukaryota"	"TSAR"	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Ciliophora;Spirotrichea"	5.24188732341908	9.22453671848374	"nonDEG"	-4.45085567639498	9.22453671848374	"nonDEG"	-8.98531047308582	9.22453671848374	"Down"
"d14032366ad09754cc1d12bedf9eae06"	"Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;"	0.975510723	"Eukaryota"	"TSAR"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Dinoflagellata;Syndiniales"	0	7.25812615215975	"nonDEG"	0.181675945277434	7.25812615215975	"nonDEG"	-5.37973847263932	7.25812615215975	"Down"
