"ASV_ID"	"Taxon"	"Confidence"	"Taxon_Lv1"	"Taxon_Lv2"	"Taxon_Lv3"	"Taxon_Lv4"	"Taxon_Lv5"	"Taxon_Lv45"	"Ave_EPI_CA"	"Max_EPI_CA"	"Ave_MES_CA"	"Max_MES_CA"	"Ave_EPI_CF"	"Max_EPI_CF"	"Ave_MES_CF"	"Max_MES_CF"	"MPI"	"Levin_EPI"	"Levin_MES"	"logFC_EPI"	"logCPM_EPI"	"EPI"	"logFC_MES"	"logCPM_MES"	"MES"	"logFC_EEI"	"logCPM_EEI"	"EEI"
"890eb4f14510a0525fdca9000cf4bdb0"	"Eukaryota"	0.994886967	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0177757168251024	0.088878584125512	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"85c63c9f9edf46363a357625b47a30e2"	"Eukaryota"	0.993912708	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.14375144910735	0.699435814205116	0	0	0.0115928587989798	0.0347785763969395	1	NA	0.00190367208880157	0	8.373267879	"nonDEG"	-0.869839546	8.373267879	"nonDEG"	-7.58302643	8.373267879	"Down"
"9525dba407424bbd2930742491ea5135"	"Eukaryota"	0.991125526	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0703300100471443	0.351650050235721	0	0	0.0680114382873483	0.313007187572455	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0f64f44600b288bdc48a82b12ec281f1"	"Eukaryota"	0.99663302	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0.00927428703918386	0.0927428703918386	0	0	0.0734214390602056	0.664657237808177	0.0162300023185718	0.0811500115928588	-1	NA	NA	3.453343295	8.880021785	"nonDEG"	6.235319173	8.880021785	"nonDEG"	4.00809199	8.880021785	"nonDEG"
"5c67ab5cdae67763b49c58f18a22f22f"	"Eukaryota"	0.981107638	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0139114305587758	0.069557152793879	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"f9c655ab160f9b394e6a9c4e3425b754"	"Eukaryota"	0.997426733	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0711028673004096	0.355514336502048	0	0	0.00850142978591854	0.0425071489295927	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"47babd45ffcacfea9a92aedb83d761ea"	"Eukaryota"	0.99670562	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0	0	0.0552592936084705	0.552592936084705	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"61e00df44efd8ccf7976e49753487e62"	"Eukaryota"	0.997380372	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0363242909034701	0.181621454517351	0	0	0.00541000077285725	0.0270500038642863	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"978a0dae7318590f5f536fe6088c6a64"	"Eukaryota"	0.997576388	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.021640003091429	0.108200015457145	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"a3803b3c27015ec36c01f9a638427790"	"Eukaryota"	0.986695295	"Eukaryota"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified"	"Unclassified;Unclassified"	0	0	0.0950614421516346	0.266635752376536	0	0	0.000772857253265322	0.00386428626632661	1	NA	0.0551084581356926	0	7.761847447	"nonDEG"	-4.189698287	7.761847447	"nonDEG"	-7.206081604	7.761847447	"Down"
